Year,scenario,module,variable,variable_value,stratifier,stratifier_value,metric_type,n_runs,total_sample,min_sample,mean_sample,mean_value,sd_value,ci_lower,ci_upper,se
2023,Baseline,Income,UC Benefits Flag,null,Overall,Overall,share,3,73025,23947,24341.6666666667,0.236363737907136,0.00304466889226168,0.232918370714236,0.239809105100035,0.00175784040454056
2021,Baseline,Income,UC Benefits Flag,1,Overall,Overall,share,3,7601,2459,2533.66666666667,0.0250613734900152,0.000794504785842022,0.0241623066881377,0.0259604402918928,0.000458707551978337
2023,Baseline,Income,UC Benefits Flag,1,Overall,Overall,share,3,10831,3606,3610.33333333333,0.0350582481591549,0.000133599788743278,0.0349070657661255,0.0352094305521843,7.71338739946089e-05
2019,Baseline,Income,Financial distress flag,Not financially distressed,Overall,Overall,share,3,283856,94606,94618.6666666667,0.946038451983263,5.29995520370451e-05,0.945978477344218,0.946098426622309,3.05993056355176e-05
2020,Baseline,Income,Financial distress flag,Not financially distressed,Overall,Overall,share,3,286815,95529,95605,0.947375453155791,0.000452155011971456,0.946863791592752,0.947887114718831,0.000261051817877159
2021,Baseline,Income,Financial distress flag,Not financially distressed,Overall,Overall,share,3,289437,96349,96479,0.954264644892418,0.000400921827775388,0.953810959135046,0.954718330649791,0.000231472325190117
2022,Baseline,Income,Financial distress flag,Not financially distressed,Overall,Overall,share,3,292539,97333,97513,0.956103389003638,0.00017166111884712,0.955909136161014,0.956297641846263,9.91085931757774e-05
2023,Baseline,Income,Financial distress flag,Not financially distressed,Overall,Overall,share,3,296355,98520,98785,0.95924818846805,0.000449177372598565,0.958739896421162,0.959756480514937,0.000259332676983671
2023,Baseline,Income,Financial distress flag,Financially distressed,Overall,Overall,share,3,12590,4163,4196.66666666667,0.0407518115319505,0.000449177372598581,0.0402435194850625,0.0412601035788385,0.000259332676983679
2019,Baseline,Income,Financial distress flag,Financially distressed,Overall,Overall,share,3,16191,5392,5397,0.053961548016737,5.29995520370343e-05,0.0539015733776914,0.0540215226557826,3.05993056355113e-05
2021,Baseline,Income,Financial distress flag,Financially distressed,Overall,Overall,share,3,13872,4574,4624,0.0457353551075819,0.000400921827775398,0.0452816693502093,0.0461890408649545,0.000231472325190123
2022,Baseline,Income,Financial distress flag,Financially distressed,Overall,Overall,share,3,13431,4463,4477,0.0438966109963618,0.000171661118847092,0.0437023581537373,0.0440908638389863,9.91085931757608e-05
2020,Baseline,Income,Financial distress flag,Financially distressed,Overall,Overall,share,3,15932,5258,5310.66666666667,0.0526245468442086,0.00045215501197149,0.0521128852811693,0.0531362084072479,0.000261051817877178
2019,Baseline,Health,Self-Rated Health,VeryGood,Overall,Overall,share,3,135344,45108,45114.6666666667,0.451075997038194,5.91729653036859e-05,0.451009036524398,0.45114295755199,3.41635274468314e-05
2019,Baseline,Health,Self-Rated Health,Excellent,Overall,Overall,share,3,32211,10734,10737,0.107353180452461,2.37582112192971e-05,0.107326295505561,0.107380065399361,1.37168096429252e-05
2019,Baseline,Health,Self-Rated Health,Good,Overall,Overall,share,3,82591,27511,27530.3333333333,0.275260202504856,0.000154056063207214,0.275085871658112,0.275434533351599,8.89443095629792e-05
2020,Baseline,Health,Self-Rated Health,VeryGood,Overall,Overall,share,3,125209,41598,41736.3333333333,0.413575738205123,0.00181956232970335,0.411516709595434,0.415634766814812,0.00105052480086153
2020,Baseline,Health,Self-Rated Health,Good,Overall,Overall,share,3,85027,27848,28342.3333333333,0.280848540475552,0.00415898509868014,0.276142205789646,0.285554875161458,0.00240119116627862
2021,Baseline,Health,Self-Rated Health,VeryGood,Overall,Overall,share,3,121700,40330,40566.6666666667,0.401237077631976,0.00275698165039477,0.398117259199884,0.404356896064069,0.00159174409800628
2022,Baseline,Health,Self-Rated Health,VeryGood,Overall,Overall,share,3,115457,38297,38485.6666666667,0.377347305704869,0.00183052456626981,0.375275872156725,0.379418739253014,0.0010568538510941
2022,Baseline,Health,Self-Rated Health,Good,Overall,Overall,share,3,92621,30552,30873.6666666667,0.302710702417919,0.00247171310870568,0.299913695729724,0.305507709106113,0.00142704422867075
2023,Baseline,Health,Self-Rated Health,Good,Overall,Overall,share,3,94449,31160,31483,0.305712337159211,0.00241003994912907,0.302985120220972,0.30843955409745,0.00139143721338742
2023,Baseline,Health,Self-Rated Health,Excellent,Overall,Overall,share,3,25807,8489,8602.33333333333,0.0835347280123239,0.00123669910159477,0.0821352712362678,0.0849341847883801,0.00071400855921231
2019,Baseline,Health,Self-Rated Health,Fair,Overall,Overall,share,3,36718,12226,12239.3333333333,0.122374167163721,0.000147596545270896,0.122207145949639,0.122541188377802,8.52149051436105e-05
